Day,Temp,Humidity,Wind,Casual,Registered,Total
114,0.581667,0.810833,0.192175,1710,2481,4191
605,0.703333,0.730417,0.128733,989,5928,6917
501,0.611667,0.794583,0.147392,625,4490,5115
438,0.565,0.6175,0.23695,762,5085,5847
135,0.5625,0.867083,0.152979,1582,2971,4553
43,0.2225,0.544167,0.203367,288,1184,1472
635,0.635,0.630833,0.2444,787,6946,7733
208,0.775,0.402917,0.183463,755,3901,4656
653,0.521667,0.640417,0.278612,2080,4559,6639
82,0.346957,0.839565,0.234261,203,1918,2121
353,0.276667,0.6375,0.172896,260,3143,3403
427,0.353333,0.657083,0.144904,246,2948,3194
20,0.261667,0.538333,0.195904,83,1844,1927
238,0.7,0.76125,0.0839625,768,3893,4661
580,0.7525,0.659583,0.129354,983,6278,7261
448,0.601667,0.694167,0.1163,2469,5893,8362
505,0.6,0.45625,0.083975,3410,4884,8294
256,0.650833,0.7125,0.141804,701,4062,4763
15,0.233333,0.49875,0.157963,222,1026,1248
336,0.314167,0.625833,0.100754,268,3672,3940
508,0.615,0.765833,0.118167,819,5254,6073
46,0.266087,0.314348,0.291374,140,1675,1815
303,0.319167,0.62375,0.176617,885,2446,3331
24,0.0973913,0.491739,0.15833,86,1330,1416
595,0.723333,0.570833,0.231354,1483,5665,7148
637,0.619167,0.69,0.164179,1045,6370,7415
165,0.604167,0.507083,0.269283,727,4164,4891
609,0.764167,0.5875,0.168533,1433,5917,7350
276,0.384167,0.760833,0.0833458,330,3240,3570
381,0.19,0.5225,0.231358,217,2081,2298
376,0.274167,0.8475,0.131221,92,2085,2177
102,0.5025,0.739167,0.274879,257,1777,2034
217,0.710833,0.630833,0.184696,1023,3843,4866
345,0.220833,0.49,0.0665417,377,2366,2743
487,0.613333,0.659583,0.156096,653,5087,5740
493,0.5375,0.664167,0.230721,1008,5265,6273
475,0.498333,0.6125,0.0659292,846,5719,6565
569,0.6675,0.7625,0.0939208,2544,4866,7410
547,0.765,0.60125,0.161071,1455,4232,5687
247,0.709167,0.742083,0.206467,2521,2419,4940
220,0.765,0.592083,0.192175,846,3480,4326
156,0.648333,0.6525,0.138692,1685,3221,4906
628,0.5525,0.536667,0.215175,788,6803,7591
182,0.7225,0.39625,0.102608,1246,4116,5362
576,0.721667,0.62375,0.170396,2153,4444,6597
177,0.68,0.513333,0.0945333,1920,3385,5305
293,0.475833,0.63625,0.422275,471,3724,4195
67,0.2925,0.420833,0.12065,316,1817,2133
374,0.224167,0.701667,0.0989,106,2270,2376
155,0.635,0.45625,0.123142,1869,3473,5342
456,0.424167,0.738333,0.250617,2301,3934,6235
224,0.708333,0.415,0.125621,1051,3854,4905
275,0.356667,0.791667,0.222013,616,2302,2918
71,0.329167,0.594583,0.220775,724,1408,2132
643,0.6575,0.722917,0.117546,891,6437,7328
551,0.789167,0.53875,0.13495,2562,4841,7403
713,0.295833,0.485833,0.174129,425,5107,5532
657,0.5225,0.728333,0.236937,1008,6501,7509
570,0.741667,0.694167,0.138683,1135,5831,6966
617,0.659167,0.799167,0.281104,1557,4419,5976
201,0.768333,0.707083,0.113817,644,3688,4332
33,0.26,0.775417,0.264308,72,1454,1526
648,0.446667,0.761667,0.1903,601,5791,6392
562,0.745833,0.717917,0.166667,1920,4111,6031
489,0.56,0.768333,0.133696,764,5657,6421
109,0.505833,0.665833,0.157971,409,2795,3204
422,0.279167,0.41,0.205229,515,2874,3389
196,0.663333,0.59125,0.182833,1318,4220,5538
136,0.5775,0.787917,0.126871,773,3185,3958
577,0.730833,0.66875,0.153617,1040,6065,7105
176,0.695,0.483333,0.209571,1782,3420,5202
640,0.520833,0.649167,0.0908042,763,6015,6778
391,0.341667,0.769583,0.0733958,244,3831,4075
430,0.243333,0.50625,0.228858,203,3130,3333
344,0.275,0.5075,0.233221,502,2688,3190
168,0.649167,0.735833,0.143029,863,3981,4844
460,0.541667,0.469583,0.180975,1058,5378,6436
710,0.435833,0.925,0.190308,329,4841,5170
474,0.463333,0.569167,0.167912,347,4020,4367
200,0.776667,0.650417,0.1306,752,3789,4541
461,0.435,0.374167,0.219529,1192,5265,6457
124,0.414167,0.737083,0.328996,255,2378,2633
76,0.415,0.602917,0.209579,424,2320,2744
625,0.58,0.57,0.0901833,2166,5167,7333
465,0.489167,0.3175,0.358196,905,4680,5585
581,0.765833,0.6425,0.215792,1328,5847,7175
440,0.5575,0.579583,0.149883,1005,5187,6192
675,0.319167,0.494167,0.236325,378,4881,5259
167,0.628333,0.688333,0.206471,545,3222,3767
513,0.69,0.697083,0.215171,3283,3308,6591
248,0.673333,0.790417,0.212696,1236,2115,3351
347,0.2825,0.59,0.14055,155,3368,3523
327,0.440833,0.757917,0.335825,112,2454,2566
716,0.3625,0.83875,0.100742,538,3248,3786
1,0.344167,0.805833,0.160446,331,654,985
520,0.6025,0.493333,0.184087,2494,5147,7641
586,0.75,0.672917,0.1107,1263,6271,7534
459,0.466667,0.396667,0.100133,1348,5424,6772
496,0.505833,0.552083,0.314063,1026,5546,6572
708,0.381667,0.91125,0.101379,1153,4429,5582
25,0.223478,0.616957,0.129796,186,1799,1985
389,0.3425,0.835833,0.123767,439,3900,4339
59,0.407273,0.876364,0.289686,81,1365,1446
622,0.6125,0.637083,0.0827208,1054,6750,7804
326,0.416667,0.9625,0.118792,69,1538,1607
123,0.616667,0.697083,0.342667,603,3848,4451
314,0.38,0.813333,0.189067,190,2743,2933
232,0.6975,0.674167,0.104467,1914,3277,5191
97,0.4375,0.602917,0.162312,571,2570,3141
500,0.573333,0.789583,0.212692,342,2501,2843
101,0.595652,0.716956,0.324474,855,2493,3348
269,0.649167,0.848333,0.1107,684,3946,4630
514,0.7125,0.67625,0.196521,2557,3486,6043
612,0.7075,0.790833,0.151121,1965,4069,6034
666,0.53,0.72,0.235692,2643,5209,7852
254,0.653333,0.71375,0.115054,1633,3413,5046
499,0.6125,0.57625,0.225117,2172,3946,6118
356,0.423333,0.7575,0.047275,227,2841,3068
386,0.173333,0.83125,0.222642,67,1234,1301
549,0.781667,0.447083,0.195267,904,5323,6227
339,0.385833,0.827083,0.0622083,233,3578,3811
410,0.319167,0.50875,0.141179,135,3787,3922
565,0.793333,0.577083,0.137442,799,4914,5713
632,0.529167,0.467083,0.223258,2454,5453,7907
436,0.361739,0.476957,0.222587,1658,3253,4911
108,0.5125,0.5425,0.163567,669,2760,3429
146,0.708333,0.6775,0.199642,758,3919,4677
23,0.0965217,0.436522,0.2466,150,836,986
458,0.433913,0.504348,0.312139,1208,4728,5936
12,0.172727,0.599545,0.304627,25,1137,1162
131,0.5425,0.632917,0.120642,550,3632,4182
96,0.390833,0.470833,0.263063,413,2395,2808
722,0.265833,0.44125,0.407346,205,1544,1749
3,0.196364,0.437273,0.248309,120,1229,1349
397,0.469167,0.507917,0.189067,304,4275,4579
142,0.604167,0.749583,0.148008,1576,3084,4660
444,0.545,0.72875,0.162317,982,5171,6153
299,0.484167,0.720417,0.148642,404,3490,3894
481,0.476667,0.427917,0.118792,655,5541,6196
77,0.54,0.525217,0.231017,884,2355,3239
226,0.676667,0.8175,0.222633,1338,2482,3820
380,0.166667,0.419167,0.251258,284,2027,2311
443,0.4725,0.81,0.126883,2207,3685,5892
476,0.526667,0.694583,0.149871,1340,5950,7290
730,0.255833,0.483333,0.350754,364,1432,1796
623,0.633333,0.6725,0.103863,1379,6630,8009
57,0.2825,0.537917,0.186571,424,1545,1969
614,0.736667,0.74125,0.187808,832,6280,7112
659,0.484167,0.572917,0.117537,2806,5284,8090
45,0.415,0.375833,0.417908,208,1705,1913
556,0.710833,0.683333,0.180975,998,5571,6569
372,0.393333,0.531667,0.174758,1070,3451,4521
219,0.7425,0.752917,0.201487,1298,2487,3785
6,0.204348,0.518261,0.0895652,88,1518,1606
519,0.583333,0.549167,0.186562,2795,5325,8120
190,0.733333,0.609167,0.167912,1988,3348,5336
291,0.5325,0.701667,0.110087,637,4111,4748
68,0.295833,0.775417,0.22015,191,1700,1891
282,0.540833,0.7275,0.06345,2397,3114,5511
396,0.39,0.416667,0.261817,324,4185,4509
446,0.531667,0.82125,0.0895583,1122,5108,6230
449,0.5025,0.885417,0.192783,1033,2339,3372
507,0.598333,0.81125,0.233204,630,3729,4359
29,0.196522,0.651739,0.145365,123,975,1098
693,0.368333,0.56875,0.148021,1603,2307,3910
272,0.616667,0.699167,0.172883,653,4186,4839
654,0.561667,0.7075,0.296037,760,5115,5875
575,0.755833,0.613333,0.15735,2234,4451,6685
188,0.75,0.65125,0.1592,754,3838,4592
567,0.665833,0.844167,0.208967,747,5123,5870
451,0.445833,0.477917,0.386821,795,4763,5558
431,0.258333,0.456667,0.200875,221,3735,3956
93,0.378333,0.48,0.182213,1651,1598,3249
148,0.655833,0.729583,0.230092,2001,2757,4758
288,0.506667,0.483333,0.258083,1899,3318,5217
119,0.51,0.457083,0.240063,878,3717,4595
392,0.425,0.74125,0.342667,269,3187,3456
75,0.365217,0.776522,0.203117,321,1871,2192
321,0.341667,0.575833,0.305362,139,2914,3053
91,0.3,0.68625,0.258708,307,1920,2227
662,0.544167,0.641667,0.0945458,841,6625,7466
483,0.4575,0.400833,0.347633,1014,5219,6233
235,0.640833,0.455417,0.146763,1281,4614,5895
437,0.466667,0.489167,0.207713,838,4460,5298
22,0.0591304,0.4,0.17197,93,888,981
406,0.280833,0.54,0.116929,227,3604,3831
536,0.688333,0.69,0.148017,968,5857,6825
138,0.55,0.87,0.201492,536,3319,3855
66,0.261739,0.551304,0.341352,244,1628,1872
419,0.454167,0.554583,0.190913,516,4546,5062
249,0.54,0.886957,0.343943,204,2506,2710
610,0.753333,0.638333,0.113187,2352,3788,6140
147,0.681667,0.65375,0.240679,871,3808,4679
90,0.268333,0.918333,0.217646,179,1506,1685
464,0.5,0.275833,0.232596,2230,2939,5169
351,0.258333,0.560833,0.243167,275,2464,2739
516,0.656667,0.67,0.134329,745,6110,6855
492,0.5625,0.74,0.149879,2135,4224,6359
323,0.329167,0.502083,0.224496,943,2720,3663
696,0.313333,0.535417,0.04665,337,4750,5087
725,0.291304,0.734783,0.168726,440,573,1013
61,0.335,0.449583,0.307833,231,1903,2134
169,0.696667,0.670417,0.119408,1807,3312,5119
366,0.37,0.6925,0.192167,686,1608,2294
608,0.706667,0.590417,0.0771167,1172,6541,7713
158,0.7075,0.597917,0.187808,763,4070,4833
429,0.325833,0.403333,0.334571,710,2713,3423
395,0.269167,0.400833,0.215792,126,3498,3624
490,0.6275,0.735417,0.162938,1069,5227,6296
363,0.248333,0.574167,0.119412,254,2169,2423
574,0.781667,0.594583,0.152992,1259,5645,6904
354,0.385833,0.595417,0.0615708,216,3534,3750
702,0.3475,0.823333,0.124379,892,3757,4649
697,0.291667,0.786667,0.237562,123,3836,3959
373,0.3375,0.465,0.191542,599,2826,3425
251,0.633913,0.939565,0.192748,153,1689,1842
297,0.463333,0.772083,0.118792,699,3488,4187
335,0.3125,0.524583,0.220158,182,3545,3727
512,0.6925,0.7325,0.198992,2855,3681,6536
525,0.649167,0.467917,0.175383,1488,6248,7736
634,0.55,0.57,0.236321,845,6693,7538
305,0.400833,0.68375,0.135571,410,3658,4068
65,0.376522,0.948261,0.343287,114,491,605
56,0.364348,0.712174,0.346539,120,1341,1461
656,0.455833,0.692917,0.101371,979,6482,7461
130,0.5325,0.489167,0.115671,694,4109,4803
157,0.678333,0.6,0.121896,673,3875,4548
679,0.361667,0.540833,0.214558,709,5283,5992
417,0.287826,0.594348,0.205717,163,3614,3777
626,0.580833,0.734583,0.151742,1022,5847,6869
9,0.138333,0.434167,0.36195,54,768,822
244,0.655,0.639167,0.141796,783,4332,5115
620,0.5775,0.52,0.0920542,1070,6697,7767
233,0.710833,0.77,0.248754,1249,2624,3873
526,0.710833,0.437083,0.144287,2708,4790,7498
245,0.643333,0.727083,0.139929,875,3852,4727
